Brand,Category,Price_MRP,Discount_Percent,Outlet_Type,Region,Season,Store_Size_SqFt,Years_Since_Launch,Promotional_Days,Competitor_Presence,Sales_Volume
VALUEPACK,Frozen,321.7067407787531,37.61264612957057,Online,Metro,Spring,46114.495744688975,2.254836823551539,21.0,1,3619.7341097914687
LUXEBRAND,Household,184.51676754424994,11.747056534337448,Supermarket_Traditional,Tier1_City,Summer,38601.409165328856,2.1750950368189272,2.0,0,3498.626821554678
HEALTHYLINE,Health & Beauty,234.8673780053425,16.62814313139716,Supermarket_Modern,Metro,Monsoon,7867.010521837081,6.423812254972718,28.0,1,3561.4019336051065
LUXEBRAND,Frozen,147.96490948575462,31.478272419161655,Supermarket_Modern,Rural,Spring,11720.434180340659,4.957829496431639,5.0,0,3779.4348251295023
LUXEBRAND,Snacks,484.70965660859383,21.84098373283001,Supermarket_Modern,Rural,Winter,32555.815399334806,12.041539800113673,25.0,1,3909.2255120552472
FRESHMART,Household,108.78547170081188,21.88112585697791,Supermarket_Traditional,Tier1_City,Monsoon,46156.56761042317,13.833579326531039,12.0,1,3271.4008918068084
HEALTHYLINE,Fruits & Veg,217.32655305488876,2.1336065202073407,Online,Tier1_City,Spring,22845.78715930544,13.04869792598217,15.0,0,3072.257232470904
HEALTHYLINE,Bakery,61.62753749900504,15.943986508738233,Convenience_Store,Rural,Monsoon,24796.00695606848,7.789600034982232,6.0,0,3246.0804675208506
HEALTHYLINE,Bakery,149.8007713700959,10.8293492968693,Hypermarket,Tier1_City,Spring,12652.212808062453,10.469558857659088,17.0,0,3954.6427647804785
LUXEBRAND,Fruits & Veg,401.21201227106974,39.973404913244615,Online,Rural,Summer,19767.53290543548,13.15982576057826,2.0,0,3655.222516297255
VALUEPACK,Fruits & Veg,140.52885452999575,12.334202825292412,Supermarket_Modern,Metro,Monsoon,15014.86743868498,3.269099107321036,5.0,0,3553.194567923645
HEALTHYLINE,Fruits & Veg,86.02853113803451,35.37986139175454,Supermarket_Traditional,Tier1_City,Monsoon,18177.986332252844,5.3607263746239875,9.0,0,3988.7680400339436
LUXEBRAND,Dairy,263.5039309300355,27.049349401619097,Supermarket_Traditional,Tier2_City,Spring,2009.2836130120133,17.919426925737472,15.0,0,3681.213584547161
FRESHMART,Household,54.486155630533325,13.636656367683617,Hypermarket,Rural,Monsoon,3011.9764889396497,7.50420115443317,24.0,1,3522.109476703573
VALUEPACK,Bakery,88.14476949184993,21.741375134964947,Convenience_Store,Rural,Spring,34353.64016153624,16.2219712564744,12.0,1,3090.9579061943327
FRESHMART,Household,413.4316413033388,33.62143519796775,Online,Metro,Winter,34407.964257208805,5.768805294405737,24.0,1,3811.1695573718575
VALUEPACK,Frozen,397.1630051868229,35.334731921236475,Online,Tier2_City,Monsoon,17181.299416455913,1.7911666791844154,23.0,0,3497.1539161659834
LUXEBRAND,Bakery,461.8124691822032,6.415755000245809,Online,Tier2_City,Monsoon,44387.657440938005,10.507611256994783,23.0,1,3045.670104296696
PREMIX,Dairy,434.5319461598373,13.582925648326786,Convenience_Store,Tier2_City,Summer,14039.493693796245,17.95715882768724,8.0,0,3386.6157971704797
VALUEPACK,Fruits & Veg,357.42900345791816,,Convenience_Store,Rural,Summer,20393.45431672079,16.566406433700617,26.0,1,2842.9829722287127
FRESHMART,Snacks,73.54978578529827,1.6817918430377876,Convenience_Store,Rural,Monsoon,36837.405589874645,5.805844209565308,15.0,1,3027.686790384787
LUXEBRAND,Fruits & Veg,402.2818780939959,23.929510394075862,Hypermarket,Tier2_City,Summer,37434.83777174431,18.288779714062592,,0,4210.293521751665
VALUEPACK,Health & Beauty,430.4798648782522,34.19280211968752,Supermarket_Traditional,Tier1_City,Monsoon,43197.122372554004,10.114602003409761,8.0,1,2873.36967524485
PREMIX,Fruits & Veg,409.5869655973795,15.262975513020711,Supermarket_Modern,Tier2_City,Spring,2423.8930533921584,1.9309810719847311,9.0,1,3313.1205627111285
PREMIX,Dairy,278.81556588861173,29.60143779936708,Convenience_Store,Metro,Monsoon,10004.175375916764,1.5305677755872829,10.0,1,3658.022099967147
HEALTHYLINE,Household,154.80582739226674,25.108016544029596,Supermarket_Traditional,Tier2_City,Monsoon,32388.016762832984,10.217160946063176,28.0,1,3746.6654216030333
HEALTHYLINE,Bakery,430.398489059927,15.025949419720032,Convenience_Store,Tier2_City,Winter,17571.78869258378,11.380134258562508,24.0,1,2863.090673417515
FRESHMART,Fruits & Veg,377.2232643830623,5.642391979691883,Supermarket_Modern,Tier2_City,Summer,3134.5218756125396,2.518345491069217,20.0,0,3230.8481943083466
